,Ids,Prediction
0,96396,[8.07628567]
1,80166,[165.2249012]
2,20516,[58.79061342]
3,88881,[-101.14560787]
4,69115,[25.17145076]
5,34026,[26.30959141]
6,67527,[-290.62971391]
7,56721,[393.38328056]
8,28608,[339.53901233]
9,28334,[-66.64854361]
10,87664,[108.58828271]
11,72786,[312.38138371]
12,80407,[-397.53320145]
13,32761,[-488.72820159]
14,68286,[-114.51894642]
15,95072,[87.04738904]
16,72666,[1.36355362]
17,27143,[-181.06244218]
18,62370,[88.97439227]
19,55971,[109.34954285]
20,29303,[106.32746997]
21,63140,[17.1059411]
22,74846,[266.31083055]
23,63080,[-229.66020078]
24,85080,[47.41276927]
25,34589,[201.74631559]
26,49242,[-209.65182302]
27,67716,[-30.2331684]
28,32005,[-60.05717285]
29,43883,[-178.50685923]
30,85715,[254.58378479]
31,71800,[-252.37472796]
32,36002,[-56.00889509]
33,54860,[-12.50017968]
34,39619,[232.23471775]
35,24485,[65.95007634]
36,42968,[92.4888106]
37,90358,[399.31008794]
38,63239,[227.7535644]
39,57246,[-35.85275755]
40,50693,[283.55635776]
41,65390,[57.33459754]
42,20540,[4.47680687]
43,56895,[-167.53310542]
44,71065,[271.09052995]
45,75234,[-71.38487669]
46,41935,[-152.21799073]
47,32693,[-37.89811158]
48,67988,[-23.31094593]
49,88791,[-214.25007076]
50,72735,[156.25698855]
51,64794,[-511.18867883]
52,35454,[23.99280302]
53,38951,[124.66969167]
54,81717,[-56.22445402]
55,57884,[-88.13026755]
56,76705,[-44.689145]
57,47833,[317.79573575]
58,99486,[153.33116391]
59,47395,[-93.08529029]
60,23991,[-53.45424809]
61,63763,[171.11687582]
62,99349,[-303.27524103]
63,27558,[248.76129728]
64,66769,[67.62377539]
65,89764,[-8.09665789]
66,54980,[531.67386716]
67,51294,[162.20066924]
68,70244,[-253.17466085]
69,49075,[116.10478013]
70,98437,[146.65379376]
71,57230,[60.73192261]
72,24196,[276.09197842]
73,55183,[-119.23436795]
74,84312,[112.63847485]
75,51734,[-71.14181336]
76,73339,[-41.59293184]
77,67330,[148.13128763]
78,61216,[-4.32719879]
79,72404,[223.2813238]
80,79114,[321.14555411]
81,44385,[98.12378272]
82,98063,[89.99104351]
83,20349,[-135.87963404]
84,96932,[117.0999174]
85,58683,[-136.93647686]
86,69040,[16.75899494]
87,41442,[261.41020358]
88,66475,[-175.57485248]
89,79658,[314.93398243]
90,56649,[16.40768773]
91,61240,[-264.19653965]
92,96033,[142.64504849]
93,99245,[133.83332772]
94,20648,[-66.74434186]
95,50648,[-213.35337385]
96,87338,[122.43336676]
97,33589,[175.37661299]
98,23186,[-185.96992385]
99,40010,[57.48029885]
100,71044,[-88.30124505]
