,Ids,Prediction
0,78886,[1685.37737545]
1,35987,[261700.87994038]
2,63576,[3337.90713196]
3,86537,[-2115210.20516181]
4,45235,[-37546.27070937]
5,87333,[2201.58588167]
6,94152,[-172886.89677642]
7,31129,[37354.5017485]
8,52019,[4225.07938062]
9,74987,[64477.61396015]
10,60601,[-6305.7451152]
11,48864,[197969.83391962]
12,56839,[3928.74905991]
13,92351,[1252724.26836404]
14,53691,[22516.34444598]
15,56277,[6684869.34434814]
16,47415,[4818.19587044]
17,89925,[-5646.40096196]
18,27912,[592236.46114083]
19,33156,[-35833.10649742]
20,21957,[-18859.11274954]
21,22618,[-12073124.81037228]
22,23157,[8541.07975013]
23,46659,[5009.80972962]
24,55763,[-18661.66860283]
25,56057,[5314.1439957]
26,39322,[-63505.13798178]
27,68624,[7972.73648924]
28,73726,[-1172283.37050595]
29,95124,[958976.55278297]
30,65775,[268134.80319687]
31,53215,[7149.55390296]
32,36737,[202412.13392264]
33,27447,[-739630.33928371]
34,80796,[-284978.56725945]
35,40388,[-455199.07850029]
36,26922,[1010057.72601926]
37,81620,[49210.81875697]
38,26278,[-153053.3708067]
39,53469,[-2482906.92817552]
40,77087,[29677.04659581]
41,85244,[614158.96474672]
42,63105,[-8262.86630105]
43,78427,[-712670.67464842]
44,97984,[-1188491.43864563]
45,28980,[-17538.39608101]
46,73855,[-1517408.04274207]
47,47591,[9902.76851189]
48,57106,[-8324.19740523]
49,47500,[-6703.14515308]
50,44835,[14872.2795031]
51,90757,[-949.73169138]
52,97176,[13212.07496948]
53,41537,[7158.94230029]
54,22956,[-5966.70813279]
55,95701,[-11775.13340738]
56,67922,[1526870.79008999]
57,24559,[12893.02044901]
58,73761,[596212.6601119]
59,39147,[-2478.62621092]
60,46094,[-51318802.61677492]
61,52770,[2589583.57540643]
62,31661,[4079.0077697]
63,23741,[88811.79724417]
64,64853,[650.72332967]
65,72773,[33824.97108211]
66,57769,[-1462812.40457919]
67,49782,[25588801.54439674]
68,89731,[32660.19351141]
69,41818,[18046.08914576]
70,46504,[159277.80703466]
71,86919,[-390418.984044]
72,73880,[25927.01806085]
73,51783,[8042.65760709]
74,90591,[2890.26645407]
75,39665,[1050665.14223081]
76,41250,[3567.71474381]
77,87620,[-4235.27186716]
78,37381,[-10623.3673923]
79,67635,[2508.85643401]
80,84260,[-82668.49337021]
81,92796,[19654.51232032]
82,35309,[347630.15119161]
83,76981,[2997.44308095]
84,76980,[-12201068.95796617]
85,26980,[145694.51190388]
86,25198,[239315.80859113]
87,27096,[340859.55443153]
88,48315,[334634.25001011]
89,93000,[-15973.73265521]
90,85031,[-119844.02867588]
91,38845,[-135178.17259101]
92,45388,[-17224.92397985]
93,42315,[-52011.37314144]
94,43054,[9651.13565356]
95,90803,[3875.87071175]
96,38264,[-5631.72454052]
97,47426,[416865.06103039]
98,85706,[-64705.48379373]
99,27661,[-3395.8750726]
100,86289,[-215199.64164284]
101,55925,[-2850.69106628]
102,87075,[-418954.48081473]
103,99203,[-26706.7899402]
104,71403,[13163.32355919]
105,29700,[9504.42243871]
106,47681,[10955.34997992]
107,76007,[-180986.87698892]
108,42032,[-41114.83825352]
109,95819,[-4833.79240321]
110,52726,[309426.87121891]
111,95064,[-222599.98573774]
112,78634,[4447.96101115]
113,77593,[-394104.35881245]
114,71170,[-165314.6617787]
115,32468,[12452.95559587]
116,62134,[922.83981858]
117,82228,[18055268.4703504]
118,79309,[104503.04070002]
119,31987,[-1487946.54271994]
120,52395,[77630.77593663]
121,34413,[17954.19007396]
122,91137,[-25177.00011028]
123,88937,[159335.44569053]
124,57600,[10801.23186919]
125,24284,[-467746.35333481]
126,26874,[9641335.8650924]
127,41084,[-2175242.89371309]
128,86402,[-1270215.05050553]
129,52220,[1612459.09751022]
130,30865,[695.51762403]
131,40062,[7560.28385277]
132,65939,[361211.4495782]
133,48491,[-2038.15968642]
134,83125,[-4738.48455292]
135,71954,[-28534.77329514]
136,65389,[22960.94099784]
137,60570,[-7456.17054366]
138,33950,[-1403.17392347]
139,78029,[-112169.66731509]
140,28828,[838617.24105615]
141,40519,[-4217.93615977]
142,38205,[11476.73488624]
143,22323,[33599.83690677]
144,91732,[20453.3474935]
145,46383,[83785.43446576]
146,23989,[48822.74936898]
147,92517,[-87815.69214879]
148,86893,[13815.86147877]
149,34037,[-26247.88064611]
150,36721,[578079.53303011]
151,55718,[1638.9974896]
152,73664,[-1193.65603729]
153,44305,[-16491.42386771]
154,50644,[22370830.01688644]
155,42308,[-41074.67830884]
156,40328,[-8606.01506985]
157,92095,[15849.6310019]
158,64895,[11314.39581681]
159,21436,[91215.93532381]
160,54725,[-6259.32309821]
161,75954,[15585.81726399]
162,86262,[-16274.35377136]
163,70321,[21622.40033958]
164,36826,[-10633765.15295323]
165,29631,[4685.45530493]
166,55203,[-56613.55008679]
167,72651,[9243.34529235]
168,59643,[-1871.21324236]
169,36427,[308987.15484417]
170,24271,[-9099091.33721631]
171,21634,[9748.57728387]
172,93873,[35531.13350566]
173,21139,[1150.36538957]
174,81315,[-3164.9791534]
175,59278,[-13633.44978484]
176,31904,[13033.4578806]
177,51616,[-9801.97807223]
178,38957,[-61481.75370923]
179,98224,[100152.7901385]
180,37343,[-3370.64797324]
181,84395,[5595.07241206]
182,68693,[-3874.6740201]
183,59973,[81424.9330886]
184,64032,[363877.47212248]
185,88941,[3061.6390906]
186,87880,[2195.44081695]
187,30717,[8584901.6576724]
188,57926,[10646427.94049502]
189,59284,[10017.64523024]
190,65340,[17341.67130287]
191,37862,[-461394.77314447]
192,42885,[-404195.23419196]
193,95106,[-12204.49585066]
194,99473,[-21435.62488115]
195,22879,[49865.42890852]
196,41073,[-12292.85451215]
197,94434,[-27390.35054219]
198,55059,[-55101.22318955]
199,83598,[7612.98318702]
200,29912,[-10354.67738365]
201,48165,[11986.74951534]
202,64884,[-186762.65990845]
203,20118,[109598.50200765]
204,78508,[10601.52377243]
205,69314,[-12749.74186553]
206,87485,[-48822.216431]
207,64992,[-3703.62174501]
208,39849,[-72633.09974971]
209,21022,[10501.34211294]
210,95448,[1016669.37837801]
211,77765,[14342.93494411]
212,95003,[-22703.60109302]
213,24129,[558.77585977]
214,58213,[-1868.35240509]
215,74920,[316274.96367934]
216,70348,[1840.1157982]
217,83980,[-18727.21767751]
218,72123,[6396.10869192]
219,55316,[61598.34670059]
220,24286,[11146.06252107]
221,85458,[10369.04443296]
222,56367,[7133.3232344]
223,69616,[3412.34853023]
224,82918,[-662534.29520908]
225,80307,[196025.27954444]
226,86689,[-22374.61110273]
227,87439,[-22156.82577276]
228,57828,[3092320.51257881]
229,63205,[29722.89586664]
230,77009,[88549.15998767]
231,34002,[16338.53166068]
232,42798,[682528.38203171]
233,36091,[73133.80363139]
234,64167,[161432.49816145]
235,37768,[-20794.49115583]
236,55818,[-21743.97028832]
237,85432,[328841.38479484]
238,35786,[1907.16887248]
239,88975,[-57242.22598684]
240,52913,[3196.52400506]
241,78318,[-10481.28133565]
242,34106,[-365.93231713]
243,98891,[-10768.54288825]
244,60048,[29804.35076721]
245,65926,[-296442.03093253]
246,86704,[32485.16153353]
247,68137,[-14583.3856387]
248,68753,[-282109.03091657]
249,25344,[2031.55537263]
250,73384,[-39752.33202591]
251,76016,[-8780.94373452]
252,43399,[385024.66776863]
253,85611,[-2128572.27836348]
254,31491,[1096.780228]
255,92736,[12021.83111849]
256,64571,[292477.2610156]
257,46149,[160260.10005661]
258,38766,[20213.02074749]
259,41954,[58731.05858497]
260,98723,[1117.74098473]
261,39199,[-126613.73317835]
262,70606,[6987.50796223]
263,72649,[6071268.22799798]
264,90341,[327091.07049924]
265,72304,[133722.23132336]
266,31353,[18851.02831312]
267,64366,[-228742.80870669]
268,79335,[-97.04775944]
269,43477,[-7110.73639126]
270,48658,[6690.2080724]
271,38055,[59279.08608384]
272,38616,[-27561.75139695]
273,34427,[2672138.18505627]
274,50513,[199124.2413414]
275,95317,[-4209.39163158]
276,40030,[1277089.80384467]
277,75311,[-14986.32229738]
278,60921,[-12079948.83446637]
279,36691,[7367.39728518]
280,60410,[45564.37159805]
281,84783,[6561.12629485]
282,83110,[6975.94064263]
283,38127,[2840.08814]
284,24749,[-723463.0098436]
285,59270,[6353860.24519538]
286,74147,[6033.26276373]
287,92654,[-27673.31982739]
288,22250,[2386.05930082]
289,68558,[-8187.5449322]
290,98213,[-7305.44550521]
291,64402,[-116357.02377071]
292,32359,[-19916.83800656]
293,39253,[-26610.55116158]
294,38412,[33673.59944522]
295,76568,[-181514.28146555]
296,56109,[20917.19885553]
297,91499,[-44583.68618042]
298,47675,[3559068.73558111]
299,97743,[125727.15851068]
300,54497,[-19871.34031906]
301,31628,[-18023.03681017]
302,62997,[857.57904354]
303,41500,[-1452.97892664]
304,67832,[83333.90833171]
305,88159,[10371.90322083]
306,58149,[324651.58777575]
307,72485,[-1049.58594862]
